intents,patterns
"I am going to be so busy today, Amanda's Senior Prom,Wow.Does anyone have a money tree? ",4
"But soils from the garden, although they seem so nice, and are, are not the mixes you want in containers. ",4
@JaylaStarr &lt;&lt;&lt;&lt; Has YET 2 dance w/ me ...@Hollywood_Trey = Vince Vaughn from &quot;Wedding Crashers&quot; on the Dance Floor ,4
@JeremyFire medium ones that are magenta orange ,4
back from the first session.apartment ist awesome. the session was double awesome. so much wisdom - it seems that a.h. is actually wisdom ,4
@Broooooke_ omg if it is i will like cry with happines  but ill have to get tix quickly ay  its gonna be 10:00 for me coz the time diff.,4
digital picture frame for grabs: Hi! Want to give something to a loved one (or for mothers day?) I have a digital picture frame  First ..,4
so far so good  now to pump the tyres and test fit it into its hiding place ,4
is off to get a new phone today! Yay ,4
@otibml Thx for the tweet! ,4
@MickyFin Thanks. Still waiting ,4
Sunshine.....I LOVE this weather!!! ,4
Game over with LMS : we need something else ! ,4
@PMSAnex /me holds Anex... It's gonna be alright ,4
Just flipped the switch on my new 802.11n wireless network. Hello speedy wireless  Buh bye congested 2.4GHz spectrum.,4
I get it now ,4
finding a lot of Taylor Swift songs i've never heard before... beautiful songs... ,4
Watched yesterday &quot;Son of Rambow&quot;... It's a jewel in the crowd  Original and fun.,4
Waiting on my beautiful bride and CoolCat to get home from a movie.    // cool http://gykd.net,4
crushingdreamssince2002  and forever!!!,4
everyone NEEDS to wait. ,4
Reminiscing the nights of watching Boys Before Flowers. ,4
"@David_Henrie Saw Dadnapped for the first tim on UK premiere last night, did a great job!   it was awesome! x",4
@adarh I'll next time ,4
@RobinTWP It's up to @stephsmith - I would tend to say &quot; only if you liked I Want to Believe&quot; ,4
"@gfalcone601 ahh your coming southend, thats so cool! im so excited ",4
"i can't stop thinking of Young D's song &quot;This Money&quot; lol, it's just catchy haha ",4
@KevinRuddPM oh hello Mr Rudd ,4
"@stephmcintosh managed to catch up on the Mentalist too.  anyway, hope you enjoyed your TV night! =]",4
@RyanSeacrest Def Sweet! ,4
"@Gailporter Thanks for the photo yday  Im singing along to Calvin Harris now, cos there arent any cameras about! http://twitpic.com/4eahw",4
"My dogs need some action. So, going out to the forest. ",4
had a great time at Relay For Life  Good night!,4
"@moose73 get the goldmember part, but smoke &amp; pancake?? ",4
Getting ready for yet another crazy day! How did it get like this ,4
"@obliterated oh, it's not deleted. Just no longer running  and the mac box that's replaced it (functionally) is running MacPorts ",4
@magieabangsaufi I'll definitely be watching the one with CAMELIA on it. ,4
"@kels450 Awww! Happy Kelle makes me grin something stupid!  Have a great day, love. x",4
"Sorry to be a pain, but if you've got a phone to sell, try http://bit.ly/FbRVp and enter RFPt2G to earn me some dosh, please! Thank you! ",4
@Lifestyle_gifts Yeah well it works for me ,4
@shaunjumpnow i hear you like the o.c! good on you  i looveeee it.,4
Paris Is perfect ,4
"dupa mai bine de un an dupa ce m-am pus pe lista de asteptare top gear, am fost acceptat si exact cand sunt in anglia ",4
@JosephUK WOW seems like you had such an eventful day yesterday ,4
@nicholasjerryy Hey Nick  How are you today ? &lt;3,4
"@Jordie92 You like to take the camera out?  Make a deal with you.  Next good morning, up at 4am, out for sunrise, post the photos ",4
Urgh wish i would stop getting migraines already �� looks like its a duvet day today ,4
@Nurseholistic: Happy Derby Day!  my BEST friend DA and Grands r in KY (((huggles to all my Kentucky Girls))),4
Good morning everyone! I am going back to bed for a few. lol    Have a great day everyone!,4
"#afl #aflfooty, I'm hoping for a dons fightback ",4
@silvernik good stuff  you'll have to show me. Jacksons as always have a good selection of threads,4
@PoynterPerve heyy you better bnot marry Dougie he is mine and all mine lol ,4
"If anyone at King's is awesome enough to revise in a game of horse with me (something i invented), then you'll find me at the court. ",4
Just got off the road.  I`m home now ,4
"Back in Jakarta . No bus ride from the plane today, yay ",4
@ashdirah nev mind. just accepted your friend request.  thanks. ,4
Is offffff now  Camping tonight with the girls including @Sarahx_x + @SophieLoves 8D Will be a blast!!!!!!!!!!!!!!!!!!!!!!!,4
Ms. Flax made me a goody bag. ,4
i have a new toy! ,4
I bought flowers just now! can't wait! ,4
@Purinsesukika Thank you for that ,4
@LilianChisca - thanks for your curiosity Re Heart Shaman - DM me and Ill tell u more  AND the 'kind words' are the truth - u r cool,4
"@sowrongitslucy yeah i loved it  need to see you in may half term, miss you already",4
"lOOKING oUT SIDE OF MY WINDOW, WITH MY Radio lol  (hawthorne heights)",4
Meta-thanx 2 @poetachica @IMJackSparrow @soulpoetrysite @robinpedrero @KimDeanArt 4the #followfriday flattery  I'm THAT exciting?? LOL ,4
@LaMcI me too. we were just out to do the shopping and for the rest of the day i will relax ,4
"@beachbms Hey you! Long time no speak but hope you're ok!! Happy Saturday, hope you have a great weekend!!! ",4
@nik_kee_dee be nice!!! it's the only way to be truly triumphant!! ,4
@VixxieMay we are very well dandy pandy sandy mandy    if dats makes sense  xx,4
loves having blonde hair ,4
watchin &quot;hannah montana - the movie&quot; ,4
"In town waiting for sebz, she missed her bus, what an idjit ",4
@leightonmarissa thank you for letting us to read  love you and your blog &lt;3 xx,4
@goth_girl happy birthday!  how old are you now? ,4
"@DDrDark That's a moce layout you have, go for the first one  More User Firendly.",4
"@melissaks I am still ill, but Saw V is downloading ",4
"@podblack So that's who it was! Awesome! Looking forward to it, @supersense! ",4
"Eat all pigs, eating them is no danger, but let none flew, because of swine flu  #swineflu",4
is about to go for a walk with the hubby and baby...then a shower and breakfast with the boys....going to be a stay inside and read day ,4
"generation y, with you til  1pm with luke, jess and emily ",4
@Wolfensteijn Glad to be of service ,4
"went out of town, and back again ",4
"getting ready, wedding later. ",4
@Befabulousorg bet you could burn double if you went for Metallica instead.  Would strengthen the neck muscles too. ,4
though the maccabees were incredible last night! nearly cried at toothpaste kisses and CANNOT WAIT for the new album to be dee-liver-ed  x,4
Good luck at S.A.T'S every one ,4
Good Saturday morning!  Kris - we'll try to stay healthy!    It will be good to see you and meet your babies!,4
"Found a Starbucks here in Basel, finally breakfast. All other places only serve beer! Great gig last night! I'm in love in this country. ",4
@nik_kee_dee Dont take any of their shit man... do it!... lol ,4
Mother's Day Dinner Today... Off To The Grocery Store! ,4
"Oh, no, wait, it works ",4
filled a new lottery ticket ,4
"Let me clarify, I don't expect @stephenfry to bump into my dad's corpse. That would just be too weird. ",4
is looking forward to this bank holiday weekend! ,4
We had such a good BBQ yesterday...and tomorrow well have another one ,4
"is doing X-Men Origins: Wolverine for matin�e, only $6, holla if you wanna go! ",4
"getting some gooood ol` relaxation. in a few hours, i`ll be back to business. not literally business. ",4
"I am happy that my eagles and swans are back  Great distraction to my conference meeting with Equatorial Guinea, Portugal and Spain.",4
"@androidtomato alright, I'll go home. I'll stand by the mailbox tomorrow.  ",4
@mkgaLvez  @lalouline Thanks for Following ,4
@TheOrdinaryChef hmm. I paid 20 times that and couldn't use the lower half of the gears. But it's very pretty and has carbon components ,4
@absolutracey it's about the experience of getting there  ,4
Rudy Fernandez decided to come talk to me tonight..we got cozy..(not THAT kind.) just- chatted and cheek...ish kisses. ,4
"@r27 thanks for the retweet, mate. How are you doing today. Got some time to relax? ",4
@lbraun2000 I would never add the #evilduo to my follower list for fear of pollution! Of course had to follow LC. ,4
"covered in soil and bits of plants, this is a good thing i am happy  back to finish up then start getting ready for an evening out",4
New MySpace layout ,4
"Hello, I feel pretty embarrased that i sent an email to someone saying i shant be in on saturday 17th...when the 17th is a sunday! :$ ",4
@Kelsbells that was his phrase ... have a smoke and a pancake ,4
editing video and more videoooo ,4
I love watching whos line is it anyway usa ,4
@dannywood Mornin' D  Lay it on me...was it 4...5..6?? Or are you sinning this am and eating a cinnamon roll?? ,4
Is creating a revision timetable online   the internet is magical and feeds my technological needs in every aspect of my life ,4
i love emily &lt;3    welcome to twitter zoe.   follow me ,4
Six seven eight triple nine eight two one two - has anyone heard that song?  (kiss me thru the phone),4
@lokison i have a dreamwidth now too. Thanks to del ,4
OMG! I just won �60 on scrabble instant win game on the National Lottery website!!! ,4
@SilknPearls haha it will come once i get off work  i am really not tired tonight though,4
"@Reni_ Yeah, I'm very grateful!  So, which stars do you like?",4
@lauraEchilds  can't wait,4
@tommcfly http://twitpic.com/47pmw - I SAW THAT  IN NEWCASTLE,4
"@geoffsays  Liking the, new? profile pic  Cheers to your fridge",4
"@tommcfly i know my english teacher is preggers too, its an amazing and wierd thing tho!  x",4
@yonaa oke. Thanks ya ,4
But now I have two followers I'd better say something. Erm I'm going on holiday today yay ,4
@Dani_DVM  Good luck!    See you tonight!,4
@shaundiviney HAHHAHAH  lols. lucky im not infecced ive got bradieitis.,4
"@ BXHSOS waiting for it to be 7:30am, goodluck everyone who has an exam right now ",4
You a bitch ,4
@fangio44 Pyramid Plunder all the way to 99. The only down side is that it's hard to chat at the same time. Good xp tho ,4
"Going to Rend Lake College for Rotary District Assembly.  It's only 6:10 am!  After LB graduation last night, I wish I was still in bed.  ",4
@savagestar That's always a bonus ,4
"@jerilyn65 Yummy story, Jer. I shared it with my Facebook friends. ",4
@tommcfly it's actually law of humans' life... I suppose we should reconcile ourselves to it ,4
"@nobodysnews LOL, it was more like the sound of Biden's hairpiece falling off, so it must be too weak ",4
@eracose @michmart I never remove winter tires until after May two four  Do you get fined? Thought May 1st was deadline. Only for studs ,4
"been awake for almost 24 hours, but off to london sooonish ",4
@redsheep Oh ok. Thanks. ,4
"ok tweeps, gonna watch &quot;House Bunnies&quot; on my iphone now. have fun ",4
"I may do some sunbathing today, nice weather + nothing to do = sunbathing, inevitably ",4
"physics lab over, got Halls effect....had a decent viva.....lets hope for the best now....but hey...no more physics lab ever again!!!!!! ",4
"loved her cakes, cupcakes, and presents   thanks",4
"Ah work just ended. Screwed up alot, but many thanks to my colleagues especially my new friend Tai Chen ",4
@LeeCollins fine words from the dude who was supposed to have that slot  I would not be coherent on 3 hours sleep,4
"@iyarchuleta Well at least you'll get to see him live. I tell you, it's gonna be an AMAZING experience! ",4
"259 people read my story. It makes me sunshiney inside  I just updated so hopefully i'll be at 300 very quickly. Seriously, it means lots.",4
@petecooper Darn  The internet: where gardening meets nakedness. What a mighty fine juxtaposition.,4
"drinky dranky drunk. my bed feels nice.  im listening to kaskade - 4 AM, cuz...well...its 4 AM. gnight suckahz.",4
@hmtangx ily seal face  let's watch pb now !! Wenty (L),4
"Me and Ken are leaving for the barn. I will work him hard, then we are going to eat breakfast at Diamonds.  ",4
@jimmoran I highly recommend getting another gig of memory from http://crucial.com/uk/ Windows 7 runs really well with 1.5gig ram ,4
"wonders why she never thought of bacon, eggy bread and honey before?  Nom face ",4
"@artxstar it was fucking awesome dude, keep an eye out for more summer shows ",4
pish be suye behtarin darse in term ,4
@akiraLOVE aww! well I like Emma haha  I'll gonna but it too coz of the poster haha!,4
@zandraisabelle thanks bb. whenever u need to talk I'm here for u and I'm glad we're in touch again.  &lt;3,4
"@strman just saw your tweet now, that picture it funny hehe ",4
@emmbutt talking to Memmy. Love 'our' time ,4
@tommcfly it is wierd. but babies r so cute ,4
@RealJessicaAlba good afternoon!have a nice weekend ,4
Oh ayr was goood  Girlie nite in tonite  fun times x,4
&quot;Mandatory&quot; meeting in a couple of hours...I'll be in the back with my hat down low and my shades on... ,4
"@LAMBDangerZone Well, I'll just buy you a new batch of chocolates. Something new for your bday. ",4
@chuckdarw1n 'Surprise You're Dead' by Faith No More ,4
@official_orfeh Saw pics of you at 9 to 5 opening! you look so different but beautiful  x,4
"has been having some Seamus fun this morning, with cake and icing! ",4
"We have to get rid of all the pigs here in Egypt, even Pooh is thinking about it, http://tinyurl.com/cnopa9 ",4
"@gedulous yeah agreed, Downey did a great job as an Aussie. Both times he's done it. ",4
Bills and finances are done. Still not sure if I should move out of Bonds. Going to sign up for lawn service today ,4
@DeerDesigns see even after signing off here tonite im back for a quick sneak - totally addicted - i should be more productive LOL ,4
was really pleased that getting the new WP install to talk to my old database was just a matter of setting the db prefix in wp-config.php ,4
@shaundiviney I want 'the clem' ,4
@rachaelmariee yay! Haha ill see you there ,4
My favorite songbird just flew in so I'm a go to sleep while she sings to me...Peace ,4
"Goin out, Tweet Later ",4
my goal is to get 20 followrs by tmrw...  help me!!! ,4
March for Babies today in loving memory of my niece Brooklynn. Wish me luck ,4
On the road to see Mickey!!!!! Yayyyyy! ,4
Pump time again... Dear son wants his milk  I should calculate how much milk I've pumped the last 11 months...,4
"@MartinAssmann thanks, good idea! Have a nice weekend! ",4
"I can't believe it's gonna RAIN all day today and up to Tuesday! Can't we send some of this rain to where it's needed, like central TEXAS ",4
Strike up the band and make the fireflies dance ,4
grabe... sunbuuuuurn.. ( it hurts.. ooh i went surfing.. :&gt; ,4
@TheRealJordin is so real ,4
"laying in Bed, watching the sun come up ",4
a test in facebook said that my hair color should be brunette. what do you think?. ,4
@eddiecurry aaah so you got to experience the nice winter temperature we have ,4
"U� se to nese! Tak se uka�, @ChuckNorkys - von� to dob?e! ",4
@honeyfabi it's boring here too...just finished my lunch  the weather here it's cloudy and i think it's going to rain soon,4
"@langfordperry haha you seriously crack me up, some people i know dont find you funny, then i get angry, then they do  GO FUNNY MAN!",4
@rachaeldunlop I will be watching it just to see yu and the guys then ,4
Spotify ==&gt; Airfoil ==&gt; Airport Express ,4
@griffmiester Ah yes. Totally ,4
@mkgaLvez Let's see who among them would win ,4
Sunshines out ,4
goin dog walkin with laura again today ,4
@growline #SwineFlu is now called #MexicanFlu because it has nothing to do with Swines ,4
@JujuDeRoussie LoLz no Teddy willow but I got a very pretty little dolly when I was 10 :p she's waaaay big now ,4
@rdavidian thanks for the add ,4
@Masterface Is that tomorrow? OMG have fun! And give Ianto a hug from me. ,4
@robinpedrero  Thank You for making me a part of your FF list. I am honored. ,4
@usavacantland Me the same  So together we get rid of the problem ;),4
just watched ghost whisperer &lt;3 woohoo jimel wedding  again. can't wait for next weeked episode,4
TweetDeck and Mobile Tweeter. ,4
@NoelClarke  David Morrisey just been on soccer sat talking about doing Centurion - you got a mention  oh and welcome back to blighty,4
mcfly were awesome last night ,4
@Daria87 You've been busy! Got my fingers crossed for you anyway. Don't we all live in a tip? It's the rules ,4
@MitchBenn bit of both. ,4
Gotta love OSX' built-in inverse-colors option. It's so calm for my eyes to see all code in light-on-dark ,4
@julzharlz good luck today with Zoe! Hope all goes well! ,4
Will definitely see Revenge of The Fallen this June. Oh LaBeouf...and Fox. Mm. ,4
going down to my in-laws allotment to pick some fresh veggies to bring home. have a nice day everyone  x,4
@jennroo do u wanna chat on aim??? Or is twitter otay wit you??  it doesn't matter 2 me...its up 2 you,4
"@r27 s missed it, this month... I will get u next month  haha pinch and a punch watch out mate. ",4
"@delilah88 Almost everything  The sun is shining, its saturday and there's a big BING on my face ",4
@tommcfly bahahah. ,4
@s4x Good luck today! Enjoy it! ,4
Dressing up for my saturday night out. Great weekend tweeps! ,4
@dondersteen @marjolijn It was @kjeld 's question  Thanks Steven #mwc #mdc2 #mdc,4
@kyanoun That was a short QIK. I didn't comment in time. Do it again ,4
@llort_live i thought the movie was awesome! but i can't help but be really sad at the end..i think it's coz shaun penn's so good ,4
@prolificd Thanks man! I'm hoping I don't lose my social life coz of bootstraplogo ,4
Going out in the sun now ,4
@RaylonS thank you  i worked it out  aw no you deleted them? not good.,4
Finally got round to watching my mate working away behind the anchor of Sky News the other night. What an age we live in! ,4
@Nichola I love wotaits sat nhad like three ackers mmmm ,4
Won �6.10 on the euromillions draw last night! Better than nowt ,4
Dont give up. Moses was a basket case too. ,4
"@diwwona hey i could give you my study to do, im sure that would send you off to sleep LOL ",4
Lunch time!!  My favourite time when in the library!,4
@peteu2lover sorry I missed your earlier tweets Pete...made myself have twitter free time 2day!!! Thanks 4 the twitterholics support ,4
@NcCarterFamily I sending you good vibes ,4
@downesy aww super cute. Our cat Jackson has hunkered down in his bed too. Pets are such sooks in Winter   http://twitpic.com/4eb0k,4
just had a very nice dinner at xin wang with my dear family to celebrate dad's bday! ,4
"@mr_boyd LOL sounds like my sorta admin, once changed a neighbour's SSID to &quot;all_your_base_belong_to_us&quot; - a GBS guy with an open network ",4
@NeroliCannoli In what order? ,4
@icecreamcoke ) I love If You Seek Amy. =P Haha. I'm listening to the Enchanted soundtrack ,4
@nikipaniki Have you read David Allen's Getting Thing's Done? ,4
http://twitpic.com/4eb0z - ? her so MUCH!? she's so AWESOME.. LOL.. ,4
"50.0 hard work, truvativ cranks doing that thing they do (left crank constantly coming loose) , IT'S SO PINK PEOPLE STARE! ",4
go riding again  yayy the sun shines &lt;3,4
"@Mightypeter HEY write in a girl that is 5'9&quot;, blue eyes, a bit quirky, and whatever else for the new season of Wizards! Eh? Eh? C'mon  ..",4
"#vicar of dibley, what do you call a budgie run over by a lawn mower? ... shredded tweet .... seemed apt ",4
@firequinito They must be sleeping together in a cozy hotel room. LJ sticks to Alapag like glue. LOL! ,4
Excited to see the new &quot; public &quot; ,4
Good mornin ,4
watching the sun sink behind the mountains and realizing i only get to do this 2 more times. I like the sunset on the prairie better ,4
"Hehe, on Ben's hackintosh, can't wait 'til mine, well his but really mine turns up ",4
Lovely bfast with @jarredcinman. Now off to a wedding - not really in the mood. Boons loving the new leveled hutch  yay.,4
"@LisaBevere Both! You were smart to have sensed you were targeted! I trust the HS is watching over you in London, Lisa! Stay beautiful ",4
1.3 or are you beating with them ,4
@ash_CT  Thanks for yesterdays follow friday ,4
"Good morning my peoples!  I'm looking forward to a day of yard work, and, yes, I'm seriously looking forward to it.  ",4
Bamboozle day 1 here we come ,4
@tommcfly it is a bit weird lol  ur funny,4
Workday! Come on out &amp; love the camp with your sweat ,4
"Leaving soon, not sure when I'll have wifi again. Bye for now! Disney, here I come! ",4
The morning of a wedding is compete &quot;battery charge fest&quot; here ,4
@ExoticMoonflowr  Will you be there when i make it?  i can't wait to go to Berklee. Have a great day moon! (:,4
"&quot;The very thought of humanizing Hitler makes me queasy. If he had a good side, I don't want to know about it.&quot; I love ignorant Americans ",4
@lauren_abbott Is that your thought for the week? ,4
"yeah, many tweets ",4
"@DonMcAllister I think you need this for your trip Don, if you haven't got it already  http://bit.ly/afpJd",4
"Ive finished my essays, and handed them in on thursday. Since then, i've done nothing but sleep, play games, and drink alcohol. Hooray! ",4
@brokenbabydolll did you go to the gym? ,4
"fair soon , japanese theme day tomorrow ",4
@cvray your welcome ,4
@stevecla package arrived this morning thanks  - #neowin members: keep an eye out for something special happening soon,4
@_supernatural_ hi guys :-D never shown my huge appreciation for all the pics &lt;3 have one of the recents as my background  yum,4
"@candyschwartz I'm on Harvard Ave, see you in 2 min. ",4
so bored!! Maybe it's time to turn on my computer since thursday.. ,4
